년월일,평균기온(°C),일강수량(mm),최대 순간 풍속(m/s),최소 상대습도(%),일 최심적설(cm),확진자수
2020-03-09,9.4,0.0,8.0,26,0.0,1
2020-03-10,6.3,6.1,14.5,52,0.0,0
2020-03-11,3.8,0.0,11.0,30,0.0,0
2020-03-12,6.7,0.0,9.5,28,0.0,1
2020-03-13,4.2,0.0,11.7,18,0.0,0
2020-03-14,4.0,0.0,12.8,40,0.0,1
2020-03-15,4.6,0.0,18.3,21,0.0,1
2020-03-16,3.0,0.0,12.1,26,0.0,0
2020-03-17,6.6,0.0,9.6,60,0.0,0
2020-03-18,9.6,0.0,11.9,25,0.0,0
2020-03-19,8.2,0.0,19.5,44,0.0,0
2020-03-20,8.4,0.0,10.8,38,0.0,0
2020-03-21,10.7,0.0,8.0,57,0.0,0
2020-03-22,9.9,0.0,11.8,16,0.0,0
2020-03-23,9.5,0.0,8.1,31,0.0,0
2020-03-24,10.4,0.0,6.7,25,0.0,0
2020-03-25,11.7,0.0,7.0,21,0.0,0
2020-03-26,14.7,3.5,7.3,34,0.0,1
2020-03-27,10.7,1.1,12.0,33,0.0,0
2020-03-28,7.1,0.0,13.8,13,0.0,1
2020-03-29,7.8,0.0,7.3,27,0.0,0
2020-03-30,8.1,0.0,6.9,21,0.0,2
2020-03-31,9.9,0.0,6.3,26,0.0,1
2020-04-01,10.6,0.0,15.2,21,0.0,0
2020-04-02,8.2,0.0,8.2,39,0.0,0
2020-04-03,9.0,0.0,8.9,33,0.0,0
2020-04-04,8.7,0.0,14.7,12,0.0,0
2020-04-05,7.0,0.0,11.5,17,0.0,0
2020-04-06,8.3,0.0,9.3,27,0.0,0
2020-04-07,9.4,0.0,8.1,35,0.0,0
2020-04-08,9.2,0.0,12.1,16,0.0,0
2020-04-09,8.4,0.0,11.5,31,0.0,1
2020-04-10,9.5,0.0,7.5,38,0.0,0
2020-04-11,8.5,0.0,8.3,42,0.0,0
2020-04-12,10.3,0.0,14.2,33,0.0,0
2020-04-13,11.5,0.0,11.6,13,0.0,1
2020-04-14,11.1,0.0,7.8,29,0.0,0
2020-04-15,11.9,0.0,7.0,23,0.0,0
2020-04-16,14.7,0.0,8.7,23,0.0,0
2020-04-17,12.0,2.6,13.9,43,0.0,0
2020-04-18,12.0,0.0,8.2,46,0.0,1
2020-04-19,11.9,11.2,9.1,44,0.0,0
2020-04-20,10.0,0.0,13.4,56,0.0,0
2020-04-21,7.7,0.0,16.8,27,0.0,0
2020-04-22,6.6,0.0,15.0,33,0.0,0
2020-04-23,8.3,0.0,14.4,27,0.0,0
2020-04-24,9.8,0.0,12.9,45,0.0,0
2020-04-25,12.5,0.0,14.0,41,0.0,0
2020-04-26,12.1,0.0,11.5,22,0.0,0
2020-04-27,12.3,0.0,11.2,27,0.0,1
2020-04-28,12.2,0.0,10.0,41,0.0,0
2020-04-29,13.5,0.0,8.2,29,0.0,0
2020-04-30,15.9,0.0,9.6,38,0.0,0
2020-05-01,17.7,0.0,8.3,62,0.0,1
2020-05-02,18.6,0.0,8.4,71,0.0,0
2020-05-03,20.1,0.1,6.5,45,0.0,0
2020-05-04,15.9,0.0,9.0,58,0.0,0
2020-05-05,13.5,0.0,7.9,53,0.0,0
2020-05-06,18.1,0.0,7.9,25,0.0,0
2020-05-07,19.7,0.0,10.0,16,0.0,0
2020-05-08,18.4,2.9,8.8,11,0.0,0
2020-05-09,14.1,24.1,10.6,80,0.0,0
2020-05-10,13.3,0.8,7.9,77,0.0,0
2020-05-11,14.4,2.6,9.1,52,0.0,0
2020-05-12,14.1,0.3,12.2,48,0.0,2
2020-05-13,15.1,0.0,9.3,38,0.0,1
2020-05-14,19.1,0.0,7.3,13,0.0,1
2020-05-15,16.4,10.4,10.6,28,0.0,0
2020-05-16,15.3,1.7,5.2,80,0.0,0
2020-05-17,17.1,0.1,7.3,62,0.0,1
2020-05-18,18.1,35.7,17.5,46,0.0,1
2020-05-19,13.3,4.7,12.0,47,0.0,0
2020-05-20,14.2,0.0,10.1,46,0.0,1
2020-05-21,16.1,0.0,5.9,41,0.0,0
2020-05-22,17.8,0.0,7.6,52,0.0,0
2020-05-23,18.9,0.1,8.4,46,0.0,0
2020-05-24,15.3,15.9,11.6,74,0.0,0
2020-05-25,14.2,0.0,6.6,73,0.0,0
2020-05-26,14.9,1.5,7.6,56,0.0,1
2020-05-27,16.1,0.0,10.0,55,0.0,0
2020-05-28,17.4,0.0,7.8,38,0.0,1
2020-05-29,18.9,0.0,7.0,47,0.0,1
2020-05-30,20.9,0.0,7.1,32,0.0,0
2020-05-31,19.5,0.3,7.1,43,0.0,1
2020-06-01,17.4,0.4,10.9,55,0.0,0
2020-06-02,16.9,2.7,14.6,44,0.0,1
2020-06-03,20.1,0.0,9.3,60,0.0,1
2020-06-04,19.0,0.9,7.6,75,0.0,3
2020-06-05,20.2,0.0,6.3,60,0.0,5
2020-06-06,21.8,0.0,7.2,50,0.0,1
2020-06-07,19.8,0.0,7.5,58,0.0,0
2020-06-08,22.8,0.0,7.3,45,0.0,1
2020-06-09,24.6,0.0,7.5,36,0.0,0
2020-06-10,24.1,9.4,7.0,41,0.0,0
2020-06-11,24.3,0.0,7.9,55,0.0,0
2020-06-12,21.6,0.0,5.9,69,0.0,1
2020-06-13,24.6,0.0,7.3,38,0.0,1
2020-06-14,21.9,0.2,9.4,43,0.0,1
2020-06-15,20.3,0.0,8.6,53,0.0,1
2020-06-16,21.9,0.0,6.8,54,0.0,0
2020-06-17,21.6,0.0,7.0,46,0.0,0
2020-06-18,21.7,0.0,5.7,57,0.0,0
2020-06-19,23.2,0.1,7.9,47,0.0,1
2020-06-20,22.7,0.0,6.9,51,0.0,0
2020-06-21,23.8,0.0,6.9,48,0.0,1
2020-06-22,25.7,0.0,7.1,34,0.0,0
2020-06-23,24.3,0.0,5.5,51,0.0,0
2020-06-24,21.9,23.5,11.0,57,0.0,0
2020-06-25,20.3,6.9,8.8,87,0.0,1
2020-06-26,20.3,1.6,9.1,72,0.0,0
2020-06-27,22.7,0.0,7.2,55,0.0,0
2020-06-28,22.7,0.0,7.8,60,0.0,0
2020-06-29,22.0,22.0,14.9,64,0.0,0
2020-06-30,19.5,32.5,14.3,65,0.0,0
2020-07-01,20.6,0.1,8.3,65,0.0,0
2020-07-02,22.9,0.0,6.1,56,0.0,0
2020-07-03,24.4,0.8,10.0,38,0.0,1
2020-07-04,22.2,0.5,7.0,57,0.0,0
2020-07-05,22.2,0.0,6.4,46,0.0,3
2020-07-06,24.0,0.0,7.8,57,0.0,0
2020-07-07,23.0,0.0,6.9,63,0.0,0
2020-07-08,23.1,0.0,8.7,63,0.0,0
2020-07-09,25.3,0.0,6.4,56,0.0,0
2020-07-10,24.2,1.7,11.7,61,0.0,0
2020-07-11,25.8,0.0,10.9,48,0.0,0
2020-07-12,23.3,2.7,7.8,59,0.0,0
2020-07-13,18.7,50.6,11.9,81,0.0,0
2020-07-14,19.8,9.2,10.9,63,0.0,0
2020-07-15,22.1,0.0,7.1,48,0.0,0
2020-07-16,23.3,0.0,6.8,54,0.0,0
2020-07-17,24.3,0.0,7.9,56,0.0,0
2020-07-18,24.3,0.0,7.9,60,0.0,0
2020-07-19,24.4,22.0,14.4,60,0.0,0
2020-07-20,23.1,2.3,15.8,76,0.0,0
2020-07-21,23.8,0.0,6.8,58,0.0,0
2020-07-22,22.3,25.0,6.0,81,0.0,0
2020-07-23,20.9,101.8,16.1,85,0.0,0
2020-07-24,22.4,7.8,16.8,56,0.0,0
2020-07-25,24.4,0.0,12.7,51,0.0,0
2020-07-26,24.2,0.0,8.2,52,0.0,0
2020-07-27,23.4,4.9,4.8,85,0.0,0
2020-07-28,24.3,0.1,5.7,69,0.0,1
2020-07-29,24.0,13.8,5.6,86,0.0,0
2020-07-30,23.7,0.2,5.7,72,0.0,0
2020-07-31,24.9,0.0,6.9,71,0.0,0
2020-08-01,24.4,38.2,9.2,83,0.0,0
2020-08-02,24.0,21.6,15.2,91,0.0,0
2020-08-03,24.2,50.5,14.4,90,0.0,0
2020-08-04,25.7,1.7,12.5,79,0.0,0
2020-08-05,26.6,15.2,10.5,70,0.0,0
2020-08-06,23.2,59.4,21.3,76,0.0,0
2020-08-07,23.7,0.1,6.7,67,0.0,1
2020-08-08,24.0,18.2,9.1,74,0.0,0
2020-08-09,24.6,103.8,15.3,81,0.0,0
2020-08-10,25.8,20.1,12.6,77,0.0,0
2020-08-11,23.8,106.6,11.0,73,0.0,0
2020-08-12,26.4,0.1,7.3,64,0.0,0
2020-08-13,27.0,0.0,11.0,69,0.0,1
2020-08-14,25.9,0.1,13.0,81,0.0,2
2020-08-15,25.2,27.3,11.8,92,0.0,3
2020-08-16,26.2,0.0,10.2,70,0.0,3
2020-08-17,26.8,0.0,6.6,61,0.0,1
2020-08-18,26.1,0.0,6.0,54,0.0,2
2020-08-19,26.1,0.0,7.1,59,0.0,2
2020-08-20,26.6,0.0,6.8,58,0.0,15
2020-08-21,26.1,0.4,7.6,68,0.0,3
2020-08-22,25.2,0.4,7.5,66,0.0,2
2020-08-23,25.4,0.0,7.5,54,0.0,0
2020-08-24,27.2,0.0,8.0,54,0.0,1
2020-08-25,29.0,0.0,8.1,49,0.0,2
2020-08-26,30.0,0.5,14.6,47,0.0,8
2020-08-27,26.0,12.4,20.1,66,0.0,3
2020-08-28,26.6,8.7,7.6,72,0.0,3
2020-08-29,26.6,0.3,6.8,68,0.0,1
2020-08-30,26.1,0.8,6.7,70,0.0,0
2020-08-31,26.9,0.0,8.1,58,0.0,1
2020-09-01,26.1,0.0,7.4,55,0.0,0
2020-09-02,24.2,34.5,11.0,81,0.0,2
2020-09-03,22.4,39.0,21.1,60,0.0,4
2020-09-04,22.9,0.0,11.4,39,0.0,1
2020-09-05,23.5,0.0,6.8,45,0.0,0
2020-09-06,21.8,3.1,8.9,56,0.0,0
2020-09-07,19.2,62.7,19.0,73,0.0,0
2020-09-08,23.1,0.0,17.6,52,0.0,0
2020-09-09,20.8,2.2,10.4,65,0.0,0
2020-09-10,22.6,0.0,7.7,57,0.0,2
2020-09-11,22.7,0.0,11.0,45,0.0,1
2020-09-12,19.8,6.6,10.2,72,0.0,0
2020-09-13,21.3,0.0,7.3,50,0.0,1
2020-09-14,21.5,0.0,8.4,60,0.0,3
2020-09-15,22.5,0.0,6.9,55,0.0,2
2020-09-16,21.9,0.5,8.1,61,0.0,0
2020-09-17,21.4,0.0,6.4,48,0.0,0
2020-09-18,21.8,0.0,12.5,30,0.0,0
2020-09-19,21.6,19.1,10.1,22,0.0,0
2020-09-20,20.2,0.0,7.1,38,0.0,1
2020-09-21,19.2,0.0,6.6,39,0.0,0
2020-09-22,20.7,0.0,7.6,29,0.0,0
2020-09-23,19.7,0.0,9.9,44,0.0,0
2020-09-24,20.9,0.0,10.6,42,0.0,0
2020-09-25,19.9,0.0,9.7,51,0.0,0
2020-09-26,19.3,0.0,9.9,40,0.0,1
2020-09-27,19.9,0.0,8.9,36,0.0,0
2020-09-28,20.2,0.0,8.7,47,0.0,0
2020-09-29,19.6,0.0,6.8,46,0.0,0
2020-09-30,19.7,0.0,7.1,56,0.0,0
2020-10-01,19.0,0.0,7.9,60,0.0,2
2020-10-02,19.4,1.2,10.4,60,0.0,2
2020-10-03,19.6,0.1,6.4,35,0.0,1
2020-10-04,16.7,0.0,13.9,41,0.0,1
2020-10-05,14.1,0.0,9.7,39,0.0,0
2020-10-06,14.6,0.0,8.2,28,0.0,0
2020-10-07,16.1,0.0,7.3,23,0.0,0
2020-10-08,17.4,0.0,10.8,31,0.0,0
2020-10-09,17.8,0.0,10.5,38,0.0,0
2020-10-10,16.9,0.0,7.7,40,0.0,0
2020-10-11,17.4,0.0,5.8,47,0.0,0
2020-10-12,16.2,0.0,9.0,41,0.0,0
2020-10-13,14.6,0.0,9.6,27,0.0,1
2020-10-14,13.6,0.0,8.8,23,0.0,9
2020-10-15,11.6,0.0,7.2,18,0.0,1
2020-10-16,12.8,0.0,5.5,47,0.0,0
2020-10-17,13.8,0.2,7.6,22,0.0,1
2020-10-18,14.8,0.0,7.5,47,0.0,1
2020-10-19,15.8,0.0,8.2,48,0.0,3
2020-10-20,15.1,0.0,7.3,35,0.0,3
2020-10-21,15.0,0.0,7.8,53,0.0,0
2020-10-22,13.5,0.4,13.4,37,0.0,1
2020-10-23,9.2,0.0,11.9,29,0.0,0
2020-10-24,10.0,0.0,10.6,25,0.0,0
2020-10-25,13.7,0.0,6.4,32,0.0,0
2020-10-26,13.9,0.0,6.7,38,0.0,1
2020-10-27,14.5,0.0,5.9,54,0.0,3
2020-10-28,13.6,0.0,11.2,23,0.0,0
2020-10-29,11.1,0.0,7.7,20,0.0,1
2020-10-30,12.4,0.0,5.1,21,0.0,2
2020-10-31,13.9,0.0,8.9,43,0.0,0
2020-11-01,13.6,20.7,10.6,61,0.0,0
2020-11-02,11.5,0.6,10.7,20,0.0,0
2020-11-03,5.6,0.2,13.9,31,0.0,1
2020-11-04,6.0,0.0,11.1,24,0.0,0
2020-11-05,10.3,0.0,5.4,45,0.0,0
2020-11-06,13.5,0.0,8.4,44,0.0,0
2020-11-07,14.7,0.0,9.1,36,0.0,0
2020-11-08,8.8,0.0,11.6,19,0.0,1
2020-11-09,6.1,0.0,8.3,21,0.0,0
2020-11-10,8.4,0.0,7.8,29,0.0,0
2020-11-11,9.6,0.0,5.3,37,0.0,0
2020-11-12,10.9,0.0,4.7,31,0.0,0
2020-11-13,12.3,0.0,5.3,60,0.0,0
2020-11-14,12.4,0.0,8.0,34,0.0,1
2020-11-15,11.3,0.0,4.7,64,0.0,5
2020-11-16,12.2,0.0,7.4,51,0.0,2
2020-11-17,15.9,0.8,9.0,49,0.0,4
2020-11-18,17.3,8.5,11.7,71,0.0,7
2020-11-19,12.9,47.7,15.9,73,0.0,18
2020-11-20,2.9,0.0,12.3,65,0.0,2
2020-11-21,6.1,0.9,8.4,39,0.0,4
2020-11-22,5.6,2.2,12.6,63,0.0,2
2020-11-23,1.8,0.0,8.1,39,0.0,3
2020-11-24,3.4,0.0,6.4,29,0.0,7
2020-11-25,5.5,0.0,5.6,39,0.0,4
2020-11-26,5.6,0.0,7.1,34,0.0,6
2020-11-27,4.2,0.0,12.8,47,0.0,5
2020-11-28,-0.1,0.0,12.1,33,0.0,7
2020-11-29,0.0,0.0,9.1,43,0.0,21
2020-11-30,0.4,0.0,7.7,37,0.0,9
2020-12-01,1.2,0.0,7.9,19,0.0,9
2020-12-02,2.6,0.0,8.3,23,0.0,7
2020-12-03,1.0,0.0,11.0,33,0.0,2
2020-12-04,0.3,0.0,7.3,31,0.0,3
2020-12-05,3.3,0.0,7.8,48,0.0,2
2020-12-06,5.8,0.0,7.5,45,0.0,12
2020-12-07,3.8,0.0,10.1,36,0.0,7
2020-12-08,-0.2,0.0,7.8,24,0.0,1
2020-12-09,2.3,0.0,5.0,22,0.0,4
2020-12-10,6.0,0.2,6.7,48,0.0,13
2020-12-11,6.0,0.0,7.4,52,0.0,12
2020-12-12,3.0,0.0,7.9,30,0.0,1
2020-12-13,-0.6,3.7,14.9,46,1.2,3
2020-12-14,-7.1,0.0,12.6,29,0.0,10
2020-12-15,-7.3,0.0,12.0,29,0.0,16
2020-12-16,-7.2,0.0,10.6,25,0.0,16
2020-12-17,-4.2,0.1,9.1,25,0.1,13
2020-12-18,-1.6,1.1,12.1,38,0.8,8
2020-12-19,-4.6,0.0,10.8,24,0.0,15
2020-12-20,-2.7,0.0,6.2,28,0.0,19
2020-12-21,0.1,0.0,4.4,33,0.0,13
2020-12-22,3.3,0.1,8.1,37,0.0,7
2020-12-23,5.3,0.0,8.9,60,0.0,5
2020-12-24,2.7,0.0,11.8,38,0.0,8
2020-12-25,-0.2,0.0,9.2,32,0.0,16
2020-12-26,3.5,0.0,5.5,51,0.0,9
2020-12-27,6.5,0.0,6.7,40,0.0,8
2020-12-28,5.8,1.4,5.7,67,0.0,10
2020-12-29,-0.2,0.0,11.7,49,0.0,12
2020-12-30,-10.6,0.0,13.4,38,0.0,16
2020-12-31,-8.3,0.0,11.5,37,0.0,20
2021-01-01,-3.4,0.0,9.5,42,0.0,13
2021-01-02,-4.7,0.0,10.5,28,0.0,12
2021-01-03,-4.9,0.0,7.3,24,0.0,7
2021-01-04,-3.0,0.0,8.5,31,0.0,4
2021-01-05,-5.6,0.0,10.8,26,0.0,7
2021-01-06,-7.1,2.1,20.3,14,4.0,4
2021-01-07,-14.0,0.0,17.2,32,1.8,3
2021-01-08,-14.5,0.0,12.1,32,0.2,3
2021-01-09,-11.6,0.0,9.6,28,0.0,4
2021-01-10,-7.2,0.0,6.6,30,0.0,3
2021-01-11,-6.0,0.0,6.8,39,0.0,5
2021-01-12,-2.8,1.1,7.7,55,2.8,5
2021-01-13,2.4,0.0,9.5,52,2.4,6
2021-01-14,2.4,0.0,6.6,17,0.0,4
2021-01-15,4.5,0.0,10.7,32,0.0,2
2021-01-16,-5.3,0.0,12.0,40,0.0,1
2021-01-17,-5.1,0.5,7.6,24,0.8,2
2021-01-18,-3.1,0.0,15.5,31,0.8,0
2021-01-19,-6.7,0.0,10.4,10,0.0,1
2021-01-20,1.0,0.0,5.7,14,0.0,1
2021-01-21,4.9,14.4,6.4,29,0.0,3
2021-01-22,4.8,0.0,6.4,84,0.0,3
2021-01-23,7.1,0.0,9.5,44,0.0,4
2021-01-24,7.1,0.0,8.2,43,0.0,2
2021-01-25,7.3,0.0,4.6,42,0.0,4
2021-01-26,4.6,0.2,8.8,62,0.0,10
2021-01-27,1.5,0.0,8.3,16,0.0,11
2021-01-28,-2.6,2.5,22.3,36,2.4,3
2021-01-29,-8.3,0.0,15.4,25,0.4,0
2021-01-30,-0.3,0.0,8.8,40,0.2,2
2021-01-31,4.9,0.0,8.8,25,0.0,1
2021-02-01,4.5,0.0,14.3,45,0.0,2
2021-02-02,-5.6,0.0,14.1,26,0.1,3
2021-02-03,-2.8,3.3,12.0,43,4.5,7
2021-02-04,-3.6,0.1,14.6,22,4.6,8
2021-02-05,1.9,0.0,9.3,59,1.5,4
2021-02-06,5.9,0.0,8.0,69,0.0,2
2021-02-07,2.0,0.0,10.3,26,0.0,4
2021-02-08,-3.0,0.0,14.4,25,0.0,4
2021-02-09,-0.6,0.0,6.1,25,0.0,1
2021-02-10,3.0,0.0,7.3,62,0.0,8
2021-02-11,4.7,0.0,5.3,48,0.0,7
2021-02-12,5.2,0.0,5.0,39,0.0,2
2021-02-13,4.8,0.0,5.4,41,0.0,1
2021-02-14,7.3,0.0,4.0,39,0.0,3
2021-02-15,0.1,0.8,18.3,31,0.0,2
2021-02-16,-4.9,2.4,17.6,29,1.6,4
2021-02-17,-8.2,0.0,16.2,30,1.3,6
2021-02-18,-5.3,0.0,13.6,28,0.3,7
2021-02-19,2.0,0.0,11.9,50,0.0,2
2021-02-20,7.1,0.0,10.0,23,0.0,9
2021-02-21,10.1,0.0,10.2,48,0.0,1
2021-02-22,6.4,0.0,14.4,25,0.0,1
2021-02-23,-0.6,0.0,10.4,22,0.0,5
2021-02-24,0.9,0.0,7.6,17,0.0,5
2021-02-25,3.2,0.0,6.8,22,0.0,6
2021-02-26,7.4,0.0,7.5,10,0.0,4
2021-02-27,9.2,0.0,10.0,25,0.0,1
2021-02-28,7.0,0.0,6.3,33,0.0,2
2021-03-01,3.9,58.7,13.0,49,0.4,1
2021-03-02,1.9,0.0,9.5,42,0.4,3
2021-03-03,3.8,0.0,7.2,34,0.0,4
2021-03-04,7.7,0.0,7.1,42,0.0,1
2021-03-05,8.0,0.0,8.5,43,0.0,1
2021-03-06,6.7,0.0,9.0,43,0.0,0
2021-03-07,5.5,0.0,7.2,45,0.0,1
2021-03-08,5.3,0.0,6.9,42,0.0,1
